id,province,salary
1,Nanggroe Aceh Darussalam (Ibu Kota Banda Aceh),3.413.666
2,Sumatera Utara (Ibu Kota Medan),2.710.493
3,Sumatera Selatan (Ibu Kota Palembang),3.404.177
4,Sumatera Barat (Ibu Kota Padang),2.742.476
5,Bengkulu (Ibu Kota Bengkulu),2.418.280
6,Riau (Ibu Kota Pekanbaru),3.279.194
7,Kepulauan Riau (Ibu Kota Tanjung Pinang),3.191.662
8,Jambi (Ibu Kota Jambi),2.943.000
9,Lampung (Ibu Kota Bandar Lampung),2.633.284
10,Bangka Belitung (Ibu Kota Pangkal Pinang),3.498.479
11,Kalimantan Barat (Ibu Kota Pontianak),2.608.601
12,Kalimantan Timur (Ibu Kota Samarinda),3.201.396
13,Kalimantan Selatan (Ibu Kota Banjarbaru),3.149.977
14,Kalimantan Tengah (Ibu Kota Palangkaraya),3.181.013
15,Kalimantan Utara (Ibu Kota Tanjung Selor),3.251.702
16,Banten (Ibu Kota Serang),2.661.280
17,DKI Jakarta (Ibu Kota Jakarta),4.900.798
18,Jawa Barat (Ibu Kota Bandung),1.986.670
19,Jawa Tengah (Ibu Kota Semarang),1.958.169
20,Daerah Istimewa Yogyakarta (Ibu Kota Yogyakarta),1.981.782
21,Jawa Timur (Ibu Kota Surabaya),2.040.244
22,Bali (Ibu Kota Denpasar),2.713.672
23,Nusa Tenggara Timur (Ibu Kota Kupang),2.123.994
24,Nusa Tenggara Barat (Ibu Kota Mataram),2.371.407
25,Gorontalo (Ibu Kota Gorontalo),2.989.350
26,Sulawesi Barat (Ibu Kota Mamuju),2.871.794
27,Sulawesi Tengah (Ibu Kota Palu),2.599.546
28,Sulawesi Utara (Ibu Kota Manado),3.485.000
29,Sulawesi Tenggara (Ibu Kota Kendari),2.758.984
30,Sulawesi Selatan (Ibu Kota Makassar),3.385.145
31,Maluku Utara (Ibu Kota Sofifi),2.976.720
32,Maluku (Ibu Kota Ambon),2.812.827
33,Papua Barat (Ibu Kota Manokwari),3.282.000
34,Papua (Ibu Kota Jayapura),3.864.696
35,Papua Tengah (Ibu Kota Nabire),"Rp3,864,696"
36,Papua Pegunungan (Ibu Kota Jayawijaya),"Rp3,864,696"
37,Papua Selatan (Ibu Kota Merauke),"Rp3,864,696"
38,Papua Barat Daya (Ibu Kota Sorong),"Rp3,282,000"
